SEX,AGE,MARST,RACE,BPL,HIGRADE,CLASSWKRD,OCCSCORE
2,32,1,1,6,15,22,24
2,24,1,1,6,17,22,24
1,46,1,1,42,19,13,41
2,38,4,1,48,13,14,21
2,21,1,1,4,15,22,22
2,34,1,1,150,18,29,26
1,24,6,1,5,15,22,41
2,70,1,1,6,19,22,22
2,42,1,4,6,16,28,41
2,40,1,1,5,20,28,25
2,27,1,1,6,15,22,41
1,25,6,1,13,15,22,25
2,25,1,1,6,15,22,31
2,28,1,2,1,17,22,26
1,51,1,1,17,12,27,29
2,28,6,1,53,19,22,26
2,43,1,1,6,15,22,30
1,33,1,1,11,17,25,11
2,23,6,1,4,19,22,41
1,49,1,1,5,15,22,20
2,22,6,1,1,16,22,19
2,26,1,2,6,19,27,23
1,16,6,1,6,13,22,14
2,23,6,1,48,18,22,16
1,23,2,2,39,17,22,25
1,59,1,1,17,15,22,35
2,37,1,1,20,17,28,32
2,33,1,1,1,15,22,17
2,27,1,2,6,15,22,27
1,30,1,1,36,17,22,24
1,28,1,1,6,17,22,41
2,29,1,2,36,15,22,14
1,45,1,1,55,15,22,20
1,37,6,1,6,17,13,35
2,21,1,1,1,15,22,11
1,19,6,1,6,16,22,5
2,32,1,1,36,19,22,31
1,30,6,1,33,19,22,23
1,58,1,1,19,17,22,38
2,39,6,1,6,19,22,29
1,54,1,1,17,15,14,41
2,33,1,1,5,10,27,11
1,41,1,1,6,16,13,14
1,22,6,2,5,18,27,41
1,22,1,1,4,18,22,27
1,33,1,1,56,19,22,48
1,50,1,1,5,15,13,14
1,18,6,1,6,15,22,30
1,28,6,1,6,19,22,41
1,20,6,1,1,15,22,23
2,22,6,1,6,15,28,9
2,33,4,1,41,19,22,24
1,59,6,1,200,9,22,20
2,48,1,1,47,17,22,22
2,48,1,1,26,20,28,22
1,28,1,1,5,16,22,25
2,20,6,1,16,17,22,14
2,57,1,1,150,15,22,17
1,31,6,1,6,17,22,27
1,54,1,1,42,17,22,24
1,54,1,1,47,11,28,35
1,34,3,1,200,9,22,22
2,32,6,1,17,19,27,27
2,33,4,1,1,15,22,36
1,17,6,1,24,14,22,24
2,53,5,1,40,15,28,30
2,26,3,1,6,14,22,41
2,31,1,2,5,15,22,14
1,30,1,2,17,15,25,11
1,36,1,1,17,15,13,36
2,54,4,1,26,15,22,24
1,25,1,1,2,15,22,27
2,25,6,2,6,15,22,24
1,31,1,2,5,15,22,20
2,54,4,1,48,9,22,22
1,29,1,1,6,15,22,38
2,73,1,1,42,15,29,22
2,65,4,1,4,12,22,22
1,22,6,1,1,15,22,17
2,36,1,1,1,15,22,25
1,59,1,1,5,17,22,37
1,30,1,6,6,17,22,25
2,39,4,1,6,20,27,24
1,17,6,1,18,13,22,18
2,40,5,1,6,16,22,18
1,51,1,1,9,19,22,36
1,63,1,1,6,16,14,41
1,43,4,2,1,11,22,23
2,16,6,1,6,13,22,11
1,58,1,1,1,8,22,27
1,61,1,1,54,15,22,24
1,36,1,1,34,20,28,26
1,37,1,1,4,17,22,32
1,28,1,1,46,19,28,35
1,21,6,1,36,18,22,24
1,23,6,1,6,15,22,22
1,37,1,1,42,17,22,41
2,24,1,1,48,13,28,14
2,42,1,1,200,11,22,23
1,37,1,1,38,15,25,25
2,56,1,1,49,15,22,22
2,29,1,1,6,15,28,22
1,29,1,1,5,15,22,41
1,30,1,1,30,19,25,35
1,44,1,1,6,15,22,23
2,66,1,1,55,15,22,41
1,48,3,1,39,19,25,11
2,32,1,1,5,16,27,16
1,60,1,1,1,15,22,40
1,25,1,1,6,15,22,24
2,54,1,1,1,15,22,24
2,47,1,1,1,12,22,18
1,31,4,4,6,20,27,41
1,59,1,1,48,15,22,32
2,18,6,1,40,14,22,24
2,31,1,1,6,17,22,26
1,49,1,1,6,11,22,22
1,30,1,1,6,13,14,35
1,20,6,2,1,15,22,30
2,42,5,1,1,7,22,11
1,29,1,1,6,18,22,20
1,20,6,1,41,16,22,20
2,30,1,1,48,15,29,22
2,31,6,1,17,16,22,24
2,22,1,1,4,16,22,18
1,59,1,1,42,15,22,17
1,31,1,1,1,15,28,32
2,31,1,1,6,15,22,25
1,37,3,1,6,19,22,37
2,17,1,1,1,15,22,22
1,18,6,1,200,9,22,23
1,39,4,2,29,15,22,18
2,16,6,1,1,13,22,16
2,32,1,1,1,17,29,22
2,37,1,1,26,12,22,22
1,31,1,1,6,17,28,32
2,23,6,1,6,15,22,22
1,20,6,1,17,16,22,17
1,27,1,1,27,15,22,28
1,20,6,1,1,11,22,23
2,27,1,1,51,17,22,22
2,27,1,1,5,15,22,18
1,22,1,1,1,11,22,22
1,59,1,1,48,11,13,29
2,20,6,1,6,16,22,24
1,26,4,1,1,13,22,17
1,51,1,1,39,15,22,32
1,25,6,3,6,15,22,25
2,25,4,1,6,15,22,24
2,67,6,1,17,13,22,35
1,51,1,1,1,19,22,42
1,16,6,1,200,12,28,20
1,29,1,1,200,15,22,9
1,17,6,1,1,12,22,16
2,73,5,1,5,15,22,22
1,47,1,1,36,15,25,29
2,29,6,1,4,15,22,41
1,31,1,7,4,18,25,41
2,30,1,7,6,15,27,22
1,46,1,1,6,15,22,41
1,19,6,1,6,15,22,26
2,29,4,1,6,19,14,22
1,50,1,1,200,7,22,26
1,20,6,1,200,9,22,18
2,28,1,1,6,15,22,22
2,47,1,2,45,15,28,20
1,56,1,1,6,15,22,18
1,22,1,1,5,14,22,26
1,31,4,1,6,19,22,27
2,20,6,1,5,16,27,42
2,26,1,1,1,17,13,37
1,61,1,1,26,11,22,32
1,43,1,2,5,10,22,30
2,34,4,2,24,15,25,25
1,18,6,1,6,15,22,26
1,30,1,1,6,15,22,32
2,70,4,1,6,14,22,24
2,29,4,1,6,17,28,22
1,33,1,1,5,15,22,23
1,30,1,1,23,15,22,23
1,21,6,1,4,18,28,10
2,23,1,1,36,15,22,22
2,32,4,1,6,17,22,22
1,58,1,2,22,12,13,14
2,65,5,1,150,13,22,26
2,40,1,1,5,19,28,26
1,23,6,2,28,12,27,24
2,18,6,1,48,13,22,17
1,31,1,1,1,16,22,26
2,46,1,1,53,11,13,24
1,37,1,1,6,16,22,24
2,56,1,1,53,15,22,21
1,65,1,1,6,12,22,25
1,43,1,1,39,18,27,21
1,18,6,1,6,15,22,16
1,20,6,1,17,16,22,24
1,37,1,1,6,16,22,41
1,53,1,1,17,15,22,37
1,30,1,1,29,19,13,41
1,67,1,1,1,11,22,24
2,29,1,1,6,11,22,23
1,26,2,1,6,15,22,29
1,29,1,1,200,15,22,9
2,34,2,1,5,15,22,41
2,27,4,1,6,17,22,22
1,33,4,1,5,20,28,27
2,27,1,1,6,15,13,14
1,42,1,1,5,11,22,30
1,19,6,1,25,16,13,17
1,22,6,2,4,15,22,25
1,16,6,1,5,13,22,18
2,18,6,2,13,15,27,24
1,40,1,1,200,5,22,11
2,29,1,1,36,18,22,22
1,26,1,1,1,15,13,26
1,57,1,1,36,15,22,41
2,36,1,1,6,16,22,26
1,63,1,1,18,15,22,41
1,35,1,1,42,15,22,24
1,30,6,1,6,17,22,23
1,37,1,1,37,15,13,26
1,25,6,1,6,15,22,22
1,58,1,2,5,10,22,20
2,64,1,2,48,15,22,23
2,65,1,1,150,14,22,22
1,35,1,1,17,15,22,37
2,57,1,1,6,11,28,11
2,32,1,1,26,17,28,25
1,52,1,2,28,17,22,45
2,51,1,1,410,15,22,24
2,55,4,2,1,15,22,26
1,59,1,3,40,11,22,20
2,57,1,1,5,15,25,22
1,59,1,1,48,15,14,41
1,26,1,1,16,19,22,31
2,22,6,1,51,17,22,26
1,51,1,1,5,9,22,22
1,28,1,1,2,14,25,27
2,58,1,1,5,16,22,26
1,20,6,1,35,6,22,13
2,34,3,2,42,14,22,15
2,31,1,2,4,15,28,30
1,66,1,2,13,13,22,16
1,62,1,3,48,20,28,25
1,24,1,1,25,16,22,29
2,32,6,2,5,14,28,27
1,66,1,1,12,19,22,41
2,28,1,1,37,17,22,22
1,37,6,1,6,17,22,20
2,64,1,1,1,13,27,17
2,42,1,1,39,16,22,26
2,47,1,1,1,15,22,9
1,37,2,1,200,7,22,11
2,27,3,1,6,15,22,22
1,23,1,1,28,12,22,29
2,61,1,5,6,15,22,13
1,56,1,2,28,4,22,9
1,16,6,1,6,12,22,4
1,39,1,2,1,17,22,30
1,51,1,2,48,20,28,35
2,33,4,2,28,15,22,30
1,19,6,2,1,15,22,27
1,31,1,2,28,17,22,23
2,17,6,1,8,15,22,13
1,47,6,1,12,11,22,41
1,23,6,1,18,16,22,24
2,19,1,1,4,15,28,22
1,30,1,1,35,18,22,25
2,44,6,1,17,14,13,19
2,35,4,1,34,15,22,26
2,23,1,1,18,15,22,17
1,36,1,1,6,17,22,41
1,55,1,1,1,19,14,41
2,49,1,1,20,15,22,22
2,38,4,1,5,15,22,17
2,27,1,1,18,15,22,25
1,55,1,1,34,17,22,48
1,49,1,1,16,19,22,38
1,23,1,1,18,15,25,11
2,19,6,1,6,15,22,24
1,36,1,1,36,16,22,31
2,36,1,1,6,17,22,22
1,35,1,1,1,15,22,32
2,21,6,1,6,15,22,25
1,62,1,1,25,19,13,24
2,19,6,1,6,13,22,11
1,65,1,1,39,5,13,35
1,29,4,2,29,16,22,41
1,46,4,1,38,17,14,38
2,24,1,1,51,18,28,27
2,31,1,1,25,15,22,20
2,65,5,1,37,12,22,24
2,41,1,1,35,15,22,24
2,32,1,1,4,16,22,25
1,47,1,1,6,13,25,42
2,61,4,1,26,18,28,26
2,44,1,1,40,15,22,17
1,24,4,2,6,15,22,23
1,57,1,1,32,18,22,34
2,23,1,1,1,15,22,31
1,63,1,1,19,11,22,25
2,26,1,1,210,9,22,20
2,23,6,3,4,14,22,30
2,33,1,1,29,20,28,26
2,22,6,1,20,15,22,11
1,23,1,1,200,9,22,25
1,25,1,1,39,18,25,11
2,25,1,1,34,17,22,25
2,64,1,1,46,13,22,17
1,23,6,1,5,11,22,27
2,44,1,1,18,15,22,36
2,16,6,1,53,13,22,20
1,28,1,1,53,17,13,17
2,17,6,1,1,13,22,14
2,50,1,1,6,15,22,41
2,23,6,1,36,15,22,22
1,65,1,5,6,14,22,9
1,42,1,1,1,15,22,25
2,44,1,1,42,19,22,19
1,25,6,1,6,17,22,29
2,21,6,1,200,5,22,22
1,58,1,1,6,19,22,24
1,33,1,1,6,15,22,27
1,25,1,1,48,15,25,11
1,28,1,1,53,19,13,29
2,22,6,1,51,11,22,13
2,52,1,1,5,13,22,17
1,48,6,1,18,19,22,35
2,26,4,1,6,20,22,19
2,37,1,3,4,11,25,22
1,29,1,1,5,15,22,32
2,30,1,1,2,17,22,22
1,35,1,1,5,20,13,14
2,20,6,2,26,16,22,18
1,53,1,1,19,13,13,24
1,19,6,1,5,15,22,20
2,33,4,1,5,15,25,25
1,41,1,1,25,15,22,31
1,17,6,1,6,14,22,11
2,19,1,1,6,15,22,18
1,56,5,1,4,15,22,20
1,18,6,1,6,15,28,20
1,25,6,3,200,12,22,23
2,21,6,1,6,18,22,22
1,19,6,1,1,15,22,30
2,55,4,1,210,15,22,6
2,56,5,1,6,15,22,23
2,65,1,1,1,16,29,41
1,65,1,2,1,17,13,26
2,45,1,1,5,14,22,23
1,32,1,1,5,15,22,29
1,25,1,2,5,15,22,25
2,31,1,1,5,15,22,25
1,61,1,1,6,20,22,41
2,64,5,1,5,9,22,24
1,17,6,1,13,14,22,18
2,49,1,1,34,18,22,19
1,60,1,3,40,15,13,23
2,22,1,1,6,15,22,11
2,41,6,2,22,17,28,24
1,60,1,1,5,13,22,25
1,54,1,1,53,15,22,50
1,30,6,1,6,19,22,17
2,48,5,1,5,10,22,41
1,60,1,1,5,19,25,24
2,27,6,1,42,18,27,17
1,22,1,1,6,13,22,25
1,19,6,1,6,15,22,41
2,20,1,1,6,15,22,25
1,25,6,1,48,15,22,25
1,16,6,1,2,13,22,4
1,46,1,1,6,17,22,41
1,41,1,1,5,15,22,25
2,46,1,1,8,16,27,22
2,39,1,1,6,16,28,14
1,16,6,2,6,13,27,17
1,62,4,1,19,15,22,32
1,16,6,2,1,12,22,16
1,29,1,7,200,17,28,32
2,35,4,2,5,15,27,16
2,44,1,1,6,15,22,23
1,21,1,1,1,15,22,23
